WELL_ID,FLUID_ID,VOLUME,CONC,RATE,SAND_ID,CUM_FLUID,Interpreter
1000,A,1000,0,15,,0,kjw
1000,A,500,0,15,,23.80952381,kjw
1000,S,4000,0,15,,35.71428571,kjw
1000,A,20000,0,100,,130.952381,kjw
1000,A,8000,0.5,100,R,607.1428571,kjw
1000,A,8000,0.75,100,R,797.6190476,kjw
1000,A,12000,1,100,R,988.0952381,kjw
1000,A,12000,1.5,100,R,1273.809524,kjw
1000,A,10000,2,100,R,1559.52381,kjw
1000,A,8000,2.5,100,R,1797.619048,kjw
1000,A,6000,0,100,,1988.095238,kjw
1000,A,8000,0.25,100,Q,2130.952381,kjw
1000,A,10000,0.5,100,Q,2321.428571,kjw
1000,A,18000,0.75,100,Q,2559.52381,kjw
1000,A,20000,1,100,Q,2988.095238,kjw
1000,A,20000,1.25,100,Q,3464.285714,kjw
1000,A,6000,0.5,100,Q,3940.47619,kjw
1000,A,20000,1.5,100,Q,4083.333333,kjw
1000,A,6000,0.5,100,Q,4559.52381,kjw
1000,A,18000,1.75,100,Q,4702.380952,kjw
1000,A,6000,0.5,100,Q,5130.952381,kjw
1000,A,12000,2,100,Q,5273.809524,kjw
1000,D,10000,0.5,100,ES,5559.52381,kjw
1000,D,12000,1,100,ES,5797.619048,kjw
1000,D,12000,1.5,100,ES,6083.333333,kjw
1000,D,12500,2,100,ES,6369.047619,kjw
1000,A,12511,0,100,,6666.666667,kjw
1000,A,0,0,0,,6964.547619,kjw
1001,A,1000,0,15,,0,kjw
1001,S,1000,0,20,,23.80952381,kjw
1001,A,65000,0,80,,47.61904762,kjw
1001,A,20000,0.5,80,R,1595.238095,kjw
1001,A,18000,0.75,80,R,2071.428571,kjw
1001,A,15000,1.25,80,R,2500,kjw
1001,A,36000,0.25,80,Q,2857.142857,kjw
1001,A,30000,0.5,80,Q,3714.285714,kjw
1001,A,25000,0.75,80,Q,4428.571429,kjw
1001,A,20000,1,80,Q,5023.809524,kjw
1001,A,20000,1.25,80,Q,5500,kjw
1001,D,18000,1.5,80,Q,5976.190476,kjw
1001,D,18000,2,80,Q,6404.761905,kjw
1001,D,19000,2.5,80,Q,6833.333333,kjw
